image_id,file_name,split,n_person,n_car,n_truck,has_person,has_car,has_truck,sampled_for
196715,000000196715.jpg,train,12,1,1,1,1,1,car
327788,000000327788.jpg,train,6,0,0,1,0,0,person
114815,000000114815.jpg,train,3,0,0,1,0,0,person
327808,000000327808.jpg,train,0,14,1,0,1,1,car
16513,000000016513.jpg,train,3,2,0,1,1,0,car
163970,000000163970.jpg,train,8,0,1,1,0,1,truck
49283,000000049283.jpg,train,5,8,1,1,1,1,truck
65668,000000065668.jpg,train,14,2,2,1,1,1,truck
540806,000000540806.jpg,train,2,3,0,1,1,0,car
180362,000000180362.jpg,train,1,2,0,1,1,0,car
196747,000000196747.jpg,train,3,0,0,1,0,0,person
262286,000000262286.jpg,train,14,1,0,1,1,0,car
16531,000000016531.jpg,train,7,0,6,1,0,1,truck
149,000000000149.jpg,train,13,4,0,1,1,0,car
442518,000000442518.jpg,train,4,2,0,1,1,0,car
229530,000000229530.jpg,train,14,1,1,1,1,1,truck
393372,000000393372.jpg,train,1,0,0,1,0,0,person
114844,000000114844.jpg,train,5,0,0,1,0,0,person
327841,000000327841.jpg,train,6,4,4,1,1,1,car
360611,000000360611.jpg,train,6,0,1,1,0,1,truck
196773,000000196773.jpg,train,1,1,0,1,1,0,person
196775,000000196775.jpg,train,0,2,0,0,1,0,car
540840,000000540840.jpg,train,2,2,0,1,1,0,person
524459,000000524459.jpg,train,1,0,0,1,0,0,person
311471,000000311471.jpg,train,8,14,0,1,1,0,car
540848,000000540848.jpg,train,1,1,0,1,1,0,car
278705,000000278705.jpg,val,2,2,0,1,1,0,car
360624,000000360624.jpg,train,4,7,0,1,1,0,car
98479,000000098479.jpg,train,2,0,4,1,0,1,person
278706,000000278706.jpg,train,0,0,1,0,0,1,truck
229559,000000229559.jpg,train,2,1,1,1,1,1,truck
426170,000000426170.jpg,train,14,0,0,1,0,0,person
573627,000000573627.jpg,train,12,0,1,1,0,1,truck
393411,000000393411.jpg,train,2,0,0,1,0,0,person
164036,000000164036.jpg,train,0,3,0,0,1,0,car
393412,000000393412.jpg,train,0,1,0,0,1,0,car
196811,000000196811.jpg,train,14,1,1,1,1,1,truck
426202,000000426202.jpg,train,0,2,0,0,1,0,car
114907,000000114907.jpg,val,14,0,1,1,0,1,truck
540892,000000540892.jpg,train,3,6,5,1,1,1,truck
278747,000000278747.jpg,train,0,3,1,0,1,1,truck
540899,000000540899.jpg,train,0,13,4,0,1,1,car
131299,000000131299.jpg,train,1,1,2,1,1,1,truck
49382,000000049382.jpg,train,14,0,0,1,0,0,person
246001,000000246001.jpg,train,1,0,0,1,0,0,person
246005,000000246005.jpg,train,4,2,0,1,1,0,car
360693,000000360693.jpg,train,6,0,2,1,0,1,truck
246007,000000246007.jpg,train,4,0,1,1,0,1,truck
311550,000000311550.jpg,train,0,0,1,0,0,1,truck
409862,000000409862.jpg,train,1,0,0,1,0,0,person
475403,000000475403.jpg,train,14,0,0,1,0,0,person
311564,000000311564.jpg,train,0,4,0,0,1,0,car
246029,000000246029.jpg,train,2,4,1,1,1,1,truck
131343,000000131343.jpg,train,1,0,0,1,0,0,person
49434,000000049434.jpg,train,0,1,2,0,1,1,car+truck
426268,000000426268.jpg,val,1,2,0,1,1,0,car
229660,000000229660.jpg,train,1,0,0,1,0,0,person
393503,000000393503.jpg,train,5,0,1,1,0,1,truck
409889,000000409889.jpg,train,0,0,1,0,0,1,truck
131364,000000131364.jpg,train,14,0,0,1,0,0,person
360747,000000360747.jpg,train,7,1,1,1,1,1,truck
33068,000000033068.jpg,train,0,3,2,0,1,1,truck
573744,000000573744.jpg,train,1,2,1,1,1,1,truck
49458,000000049458.jpg,train,2,0,0,1,0,0,person
327988,000000327988.jpg,train,0,0,1,0,0,1,truck
491830,000000491830.jpg,train,1,8,0,1,1,0,car
442681,000000442681.jpg,train,8,1,0,1,1,0,car
508218,000000508218.jpg,train,2,1,0,1,1,0,person
409914,000000409914.jpg,train,1,0,0,1,0,0,person
442685,000000442685.jpg,train,6,1,0,1,1,0,car
409921,000000409921.jpg,train,4,2,0,1,1,0,car
328,000000000328.jpg,train,3,1,0,1,1,0,car
295241,000000295241.jpg,train,3,0,0,1,0,0,person
459082,000000459082.jpg,train,11,4,1,1,1,1,truck
573775,000000573775.jpg,train,5,8,1,1,1,1,truck
33104,000000033104.jpg,val,6,0,0,1,0,0,person
393553,000000393553.jpg,train,9,3,1,1,1,1,truck
541010,000000541010.jpg,train,12,0,0,1,0,0,person
49495,000000049495.jpg,train,0,6,0,0,1,0,car
82263,000000082263.jpg,train,0,6,3,0,1,1,truck
442723,000000442723.jpg,train,2,1,1,1,1,1,car+truck
164200,000000164200.jpg,train,8,1,1,1,1,1,truck
360811,000000360811.jpg,train,2,0,0,1,0,0,person
459117,000000459117.jpg,train,3,0,2,1,0,1,truck
164205,000000164205.jpg,train,7,0,1,1,0,1,truck
16758,000000016758.jpg,train,14,0,2,1,0,1,truck
33144,000000033144.jpg,train,0,0,1,0,0,1,truck
229754,000000229754.jpg,train,0,1,0,0,1,0,car
557434,000000557434.jpg,train,6,4,1,1,1,1,truck
328066,000000328066.jpg,train,1,0,0,1,0,0,person
213382,000000213382.jpg,train,0,6,0,0,1,0,car
16775,000000016775.jpg,train,13,0,2,1,0,1,truck
475529,000000475529.jpg,train,0,3,1,0,1,1,truck
49554,000000049554.jpg,train,0,3,1,0,1,1,car+truck
393633,000000393633.jpg,train,0,0,1,0,0,1,truck
419,000000000419.jpg,train,2,3,0,1,1,0,car
295340,000000295340.jpg,train,11,3,2,1,1,1,car
65965,000000065965.jpg,train,1,0,0,1,0,0,person
115119,000000115119.jpg,train,0,0,1,0,0,1,truck
328111,000000328111.jpg,train,4,12,2,1,1,1,truck
131509,000000131509.jpg,train,0,1,0,0,1,0,car
475576,000000475576.jpg,train,6,6,1,1,1,1,car
33208,000000033208.jpg,train,1,12,0,1,1,0,car
475580,000000475580.jpg,train,7,2,0,1,1,0,car
33215,000000033215.jpg,train,3,1,0,1,1,0,car
16838,000000016838.jpg,train,0,1,0,0,1,0,car
541134,000000541134.jpg,train,2,1,0,1,1,0,car
295377,000000295377.jpg,train,1,0,0,1,0,0,person
491991,000000491991.jpg,train,0,5,3,0,1,1,car
246233,000000246233.jpg,train,0,0,1,0,0,1,truck
246237,000000246237.jpg,train,0,1,1,0,1,1,car+truck
246248,000000246248.jpg,train,0,4,1,0,1,1,truck
49640,000000049640.jpg,train,4,10,2,1,1,1,truck
229867,000000229867.jpg,train,0,1,0,0,1,0,car
295403,000000295403.jpg,train,6,9,1,1,1,1,truck
377329,000000377329.jpg,train,5,3,0,1,1,0,person
229874,000000229874.jpg,train,8,2,0,1,1,0,car
508403,000000508403.jpg,train,12,1,0,1,1,0,person
180721,000000180721.jpg,train,0,0,1,0,0,1,truck
524786,000000524786.jpg,train,6,1,1,1,1,1,truck
557559,000000557559.jpg,train,5,3,0,1,1,0,car
492025,000000492025.jpg,train,0,1,0,0,1,0,car
328185,000000328185.jpg,train,2,5,2,1,1,1,truck
295420,000000295420.jpg,val,1,2,2,1,1,1,car
393724,000000393724.jpg,train,1,0,2,1,0,1,truck
573954,000000573954.jpg,train,0,13,2,0,1,1,car
295426,000000295426.jpg,train,3,0,0,1,0,0,person
377352,000000377352.jpg,train,3,3,0,1,1,0,car
410123,000000410123.jpg,train,0,0,1,0,0,1,truck
262670,000000262670.jpg,train,3,1,0,1,1,0,car
573971,000000573971.jpg,train,14,0,0,1,0,0,person
295451,000000295451.jpg,train,12,0,0,1,0,0,person
180765,000000180765.jpg,train,4,1,1,1,1,1,person
213534,000000213534.jpg,train,0,0,1,0,0,1,truck
164390,000000164390.jpg,train,0,0,1,0,0,1,truck
524844,000000524844.jpg,train,2,1,0,1,1,0,car
475692,000000475692.jpg,train,2,4,0,1,1,0,car
115245,000000115245.jpg,val,3,0,0,1,0,0,person
361009,000000361009.jpg,train,1,0,1,1,0,1,truck
410165,000000410165.jpg,train,1,0,2,1,0,1,person
49718,000000049718.jpg,train,2,0,0,1,0,0,person
279097,000000279097.jpg,train,9,4,1,1,1,1,truck
16961,000000016961.jpg,train,6,3,1,1,1,1,truck
98882,000000098882.jpg,train,5,0,0,1,0,0,person
524877,000000524877.jpg,train,2,0,0,1,0,0,person
361038,000000361038.jpg,train,14,0,0,1,0,0,person
377421,000000377421.jpg,train,0,0,3,0,0,1,truck
262736,000000262736.jpg,train,0,4,1,0,1,1,truck
574037,000000574037.jpg,train,11,2,1,1,1,1,truck
213592,000000213592.jpg,train,5,6,0,1,1,0,car
262747,000000262747.jpg,train,7,4,0,1,1,0,car
279131,000000279131.jpg,train,14,0,0,1,0,0,person
361051,000000361051.jpg,train,3,0,0,1,0,0,person
459355,000000459355.jpg,train,1,2,1,1,1,1,truck
393826,000000393826.jpg,train,7,0,0,1,0,0,person
492131,000000492131.jpg,train,6,6,2,1,1,1,car
377450,000000377450.jpg,train,2,0,0,1,0,0,person
623,000000000623.jpg,train,1,0,0,1,0,0,person
82548,000000082548.jpg,train,2,0,1,1,0,1,truck
328316,000000328316.jpg,train,0,10,1,0,1,1,truck
49790,000000049790.jpg,train,1,0,0,1,0,0,person
410239,000000410239.jpg,train,8,2,2,1,1,1,truck
82565,000000082565.jpg,train,0,1,1,0,1,1,car+truck
180878,000000180878.jpg,val,0,1,0,0,1,0,car
115342,000000115342.jpg,train,2,0,1,1,0,1,truck
656,000000000656.jpg,train,0,2,0,0,1,0,car
213649,000000213649.jpg,train,6,8,0,1,1,0,car
197266,000000197266.jpg,train,0,1,1,0,1,1,truck
557717,000000557717.jpg,train,14,0,0,1,0,0,person
98965,000000098965.jpg,train,1,0,0,1,0,0,person
295576,000000295576.jpg,train,6,2,0,1,1,0,car
197273,000000197273.jpg,train,2,0,0,1,0,0,person
410266,000000410266.jpg,train,3,0,0,1,0,0,person
541343,000000541343.jpg,train,3,0,0,1,0,0,person
426663,000000426663.jpg,train,3,1,0,1,1,0,car
443049,000000443049.jpg,train,2,0,0,1,0,0,person
164521,000000164521.jpg,train,1,5,5,1,1,1,truck
410283,000000410283.jpg,train,1,0,0,1,0,0,person
393900,000000393900.jpg,train,1,0,1,1,0,1,truck
328368,000000328368.jpg,train,4,5,0,1,1,0,car
426674,000000426674.jpg,train,1,0,0,1,0,0,person
279221,000000279221.jpg,train,4,4,1,1,1,1,truck
279222,000000279222.jpg,train,0,0,2,0,0,1,truck
279226,000000279226.jpg,train,8,8,0,1,1,0,person
33471,000000033471.jpg,train,4,5,1,1,1,1,person
524991,000000524991.jpg,train,0,0,1,0,0,1,truck
246467,000000246467.jpg,train,1,0,0,1,0,0,person
115400,000000115400.jpg,train,2,1,0,1,1,0,car
180941,000000180941.jpg,train,1,0,0,1,0,0,person
724,000000000724.jpg,val,0,1,1,0,1,1,truck
164568,000000164568.jpg,train,4,0,0,1,0,0,person
131804,000000131804.jpg,train,1,0,1,1,0,1,truck
213728,000000213728.jpg,train,6,2,0,1,1,0,car
279264,000000279264.jpg,train,0,0,2,0,0,1,truck
213731,000000213731.jpg,train,1,4,2,1,1,1,person+truck
180964,000000180964.jpg,train,1,3,2,1,1,1,truck
361190,000000361190.jpg,train,3,0,1,1,0,1,truck
295657,000000295657.jpg,train,14,0,1,1,0,1,truck
66283,000000066283.jpg,train,0,0,2,0,0,1,truck
459500,000000459500.jpg,val,0,1,0,0,1,0,car
312054,000000312054.jpg,train,0,4,1,0,1,1,car+truck
361208,000000361208.jpg,train,2,2,1,1,1,1,car
66297,000000066297.jpg,train,1,1,0,1,1,0,car
459514,000000459514.jpg,train,14,4,0,1,1,0,car
230141,000000230141.jpg,train,1,1,0,1,1,0,person
66309,000000066309.jpg,train,1,1,0,1,1,0,car
557829,000000557829.jpg,train,9,0,0,1,0,0,person
197384,000000197384.jpg,train,0,0,2,0,0,1,truck
213780,000000213780.jpg,train,1,2,1,1,1,1,truck
262937,000000262937.jpg,train,0,0,2,0,0,1,truck
164634,000000164634.jpg,train,1,1,0,1,1,0,car
99104,000000099104.jpg,train,6,0,0,1,0,0,person
66336,000000066336.jpg,train,1,0,0,1,0,0,person
230179,000000230179.jpg,train,1,0,0,1,0,0,person
574248,000000574248.jpg,train,14,0,1,1,0,1,truck
99114,000000099114.jpg,val,14,0,0,1,0,0,person
246573,000000246573.jpg,train,8,3,0,1,1,0,car
164655,000000164655.jpg,train,0,1,2,0,1,1,truck
525104,000000525104.jpg,train,14,1,0,1,1,0,car
361265,000000361265.jpg,train,1,6,0,1,1,0,car
17207,000000017207.jpg,val,1,2,0,1,1,0,car
148280,000000148280.jpg,train,0,3,1,0,1,1,car
82745,000000082745.jpg,train,0,11,0,0,1,0,car
344888,000000344888.jpg,val,0,5,1,0,1,1,truck
115515,000000115515.jpg,train,0,2,3,0,1,1,truck
344893,000000344893.jpg,train,3,1,1,1,1,1,truck
246590,000000246590.jpg,train,12,1,0,1,1,0,car
541506,000000541506.jpg,train,0,1,1,0,1,1,truck
361285,000000361285.jpg,train,0,2,0,0,1,0,car
475974,000000475974.jpg,train,1,0,0,1,0,0,person
82759,000000082759.jpg,train,1,0,0,1,0,0,person
839,000000000839.jpg,train,2,1,1,1,1,1,truck
410446,000000410446.jpg,train,14,2,0,1,1,0,person
475982,000000475982.jpg,train,9,0,0,1,0,0,person
443218,000000443218.jpg,train,1,0,0,1,0,0,person
426839,000000426839.jpg,train,5,1,0,1,1,0,car
508761,000000508761.jpg,train,0,13,0,0,1,0,car
312153,000000312153.jpg,train,0,13,4,0,1,1,truck
475995,000000475995.jpg,train,4,0,0,1,0,0,person
148329,000000148329.jpg,train,1,2,1,1,1,1,truck
33642,000000033642.jpg,train,6,1,0,1,1,0,car
33643,000000033643.jpg,train,1,0,0,1,0,0,person
882,000000000882.jpg,train,1,0,0,1,0,0,person
312184,000000312184.jpg,train,1,1,0,1,1,0,car
557948,000000557948.jpg,train,10,2,0,1,1,0,car
574332,000000574332.jpg,train,14,0,1,1,0,1,truck
476040,000000476040.jpg,train,7,0,0,1,0,0,person
443272,000000443272.jpg,train,14,1,1,1,1,1,truck
459659,000000459659.jpg,train,12,4,1,1,1,1,truck
361359,000000361359.jpg,train,3,5,0,1,1,0,car
525206,000000525206.jpg,train,1,0,2,1,0,1,truck
148375,000000148375.jpg,train,0,5,0,0,1,0,car
410522,000000410522.jpg,train,1,0,0,1,0,0,person
17311,000000017311.jpg,train,1,0,1,1,0,1,truck
295840,000000295840.jpg,train,2,4,0,1,1,0,car
344996,000000344996.jpg,train,3,6,0,1,1,0,car
164779,000000164779.jpg,train,1,1,1,1,1,1,car
148395,000000148395.jpg,train,1,8,1,1,1,1,truck
99245,000000099245.jpg,train,1,3,1,1,1,1,truck
279476,000000279476.jpg,train,1,1,0,1,1,0,car
115639,000000115639.jpg,train,6,1,2,1,1,1,truck
541627,000000541627.jpg,train,3,2,3,1,1,1,car+truck
246717,000000246717.jpg,train,0,11,2,0,1,1,truck
558020,000000558020.jpg,train,5,0,0,1,0,0,person
66507,000000066507.jpg,train,4,4,1,1,1,1,truck
17364,000000017364.jpg,train,14,1,1,1,1,1,truck
476119,000000476119.jpg,val,1,2,1,1,1,1,car+truck
492510,000000492510.jpg,train,1,0,1,1,0,1,truck
279521,000000279521.jpg,train,3,3,0,1,1,0,car
312292,000000312292.jpg,train,0,2,0,0,1,0,car
558054,000000558054.jpg,train,1,0,0,1,0,0,person
377832,000000377832.jpg,train,14,4,1,1,1,1,person
410603,000000410603.jpg,train,0,1,1,0,1,1,car
345071,000000345071.jpg,train,9,6,1,1,1,1,car
492535,000000492535.jpg,train,1,0,0,1,0,0,person
164856,000000164856.jpg,train,1,0,1,1,0,1,person
279543,000000279543.jpg,train,1,0,3,1,0,1,truck
148480,000000148480.jpg,train,14,0,0,1,0,0,person
50178,000000050178.jpg,train,5,2,0,1,1,0,car
50183,000000050183.jpg,train,3,3,0,1,1,0,car
394248,000000394248.jpg,train,8,0,0,1,0,0,person
246796,000000246796.jpg,train,1,1,0,1,1,0,car
574476,000000574476.jpg,train,0,0,1,0,0,1,truck
181265,000000181265.jpg,train,2,0,0,1,0,0,person
99349,000000099349.jpg,train,8,0,1,1,0,1,truck
312343,000000312343.jpg,train,0,6,0,0,1,0,car
312344,000000312344.jpg,train,13,5,1,1,1,1,truck
328730,000000328730.jpg,train,7,0,0,1,0,0,person
148508,000000148508.jpg,val,14,2,0,1,1,0,car
476189,000000476189.jpg,train,12,2,0,1,1,0,car
181278,000000181278.jpg,train,4,3,0,1,1,0,car
558113,000000558113.jpg,train,1,0,0,1,0,0,person
214059,000000214059.jpg,train,3,1,2,1,1,1,truck
427055,000000427055.jpg,val,0,7,0,0,1,0,car
525361,000000525361.jpg,train,0,1,0,0,1,0,car
197686,000000197686.jpg,train,0,3,0,0,1,0,car
50238,000000050238.jpg,train,3,10,1,1,1,1,truck
246848,000000246848.jpg,train,1,2,2,1,1,1,car
33866,000000033866.jpg,train,1,1,0,1,1,0,car
509005,000000509005.jpg,train,14,3,1,1,1,1,car
427091,000000427091.jpg,train,10,8,1,1,1,1,car+truck
361564,000000361564.jpg,train,0,0,1,0,0,1,truck
132189,000000132189.jpg,train,0,1,0,0,1,0,car
443492,000000443492.jpg,train,7,3,0,1,1,0,person
312420,000000312420.jpg,train,2,0,0,1,0,0,person
66662,000000066662.jpg,train,1,1,1,1,1,1,truck
33896,000000033896.jpg,train,2,0,0,1,0,0,person
509037,000000509037.jpg,train,9,3,0,1,1,0,car
33901,000000033901.jpg,train,1,0,0,1,0,0,person
427118,000000427118.jpg,train,4,0,0,1,0,0,person
132210,000000132210.jpg,train,0,1,1,0,1,1,truck
492659,000000492659.jpg,train,9,0,0,1,0,0,person
427123,000000427123.jpg,train,3,0,0,1,0,0,person
230522,000000230522.jpg,train,1,1,1,1,1,1,truck
132219,000000132219.jpg,train,1,0,0,1,0,0,person
197756,000000197756.jpg,train,3,0,0,1,0,0,person
525438,000000525438.jpg,train,3,1,0,1,1,0,car
558211,000000558211.jpg,train,2,1,0,1,1,0,car+person
541832,000000541832.jpg,train,4,2,1,1,1,1,car
197775,000000197775.jpg,train,1,0,1,1,0,1,truck
459921,000000459921.jpg,train,1,0,0,1,0,0,person
1171,000000001171.jpg,train,0,1,1,0,1,1,car+truck
148634,000000148634.jpg,train,0,1,2,0,1,1,car
263327,000000263327.jpg,train,1,5,0,1,1,0,car
509098,000000509098.jpg,train,1,0,0,1,0,0,person
246955,000000246955.jpg,train,0,0,1,0,0,1,truck
541868,000000541868.jpg,train,1,0,0,1,0,0,person
427180,000000427180.jpg,train,1,3,0,1,1,0,person
197807,000000197807.jpg,train,2,3,0,1,1,0,car
410800,000000410800.jpg,train,1,0,0,1,0,0,person
17586,000000017586.jpg,train,2,0,0,1,0,0,person
476339,000000476339.jpg,train,0,1,0,0,1,0,car
574648,000000574648.jpg,train,14,2,0,1,1,0,car
263358,000000263358.jpg,train,4,0,0,1,0,0,person
296128,000000296128.jpg,train,0,1,1,0,1,1,car
410817,000000410817.jpg,train,0,1,0,0,1,0,car
558274,000000558274.jpg,train,8,14,0,1,1,0,car
33990,000000033990.jpg,train,0,1,0,0,1,0,car
115912,000000115912.jpg,train,1,0,0,1,0,0,person
476363,000000476363.jpg,train,1,0,0,1,0,0,person
541900,000000541900.jpg,train,3,7,2,1,1,1,truck
165071,000000165071.jpg,train,1,4,0,1,1,0,car
83153,000000083153.jpg,train,2,4,0,1,1,0,car
230615,000000230615.jpg,train,2,10,1,1,1,1,truck
17627,000000017627.jpg,val,4,11,0,1,1,0,car
263388,000000263388.jpg,train,2,0,1,1,0,1,truck
165086,000000165086.jpg,train,12,9,0,1,1,0,car
427232,000000427232.jpg,train,14,1,1,1,1,1,car+truck
34020,000000034020.jpg,train,2,0,0,1,0,0,person
410855,000000410855.jpg,train,0,8,0,0,1,0,car
574696,000000574696.jpg,train,0,1,0,0,1,0,car
312552,000000312552.jpg,val,1,0,0,1,0,0,person
181481,000000181481.jpg,train,9,0,1,1,0,1,truck
312559,000000312559.jpg,train,2,1,2,1,1,1,car
214255,000000214255.jpg,train,0,4,1,0,1,1,truck
427252,000000427252.jpg,train,1,0,0,1,0,0,person
1270,000000001270.jpg,train,13,0,0,1,0,0,person
115967,000000115967.jpg,train,0,8,2,0,1,1,truck
492800,000000492800.jpg,train,1,3,0,1,1,0,car
115970,000000115970.jpg,train,5,0,0,1,0,0,person
99592,000000099592.jpg,train,1,1,0,1,1,0,car
247052,000000247052.jpg,train,2,2,0,1,1,0,person
427283,000000427283.jpg,train,13,0,0,1,0,0,person
263454,000000263454.jpg,train,0,0,1,0,0,1,truck
296224,000000296224.jpg,val,1,3,0,1,1,0,car
50464,000000050464.jpg,train,4,3,3,1,1,1,truck
509218,000000509218.jpg,train,1,0,2,1,0,1,truck
361763,000000361763.jpg,train,2,0,0,1,0,0,person
181542,000000181542.jpg,val,14,1,1,1,1,1,car
509223,000000509223.jpg,train,1,0,0,1,0,0,person
165160,000000165160.jpg,train,0,1,0,0,1,0,car
329001,000000329001.jpg,train,1,5,0,1,1,0,car
509225,000000509225.jpg,train,1,0,0,1,0,0,person
378154,000000378154.jpg,train,1,0,0,1,0,0,person
476465,000000476465.jpg,train,0,0,1,0,0,1,truck
329012,000000329012.jpg,train,0,0,1,0,0,1,truck
410933,000000410933.jpg,train,3,5,0,1,1,0,person
214326,000000214326.jpg,train,1,5,3,1,1,1,truck
263479,000000263479.jpg,train,0,9,7,0,1,1,truck
394554,000000394554.jpg,train,6,0,1,1,0,1,truck
83260,000000083260.jpg,train,0,9,2,0,1,1,truck
197950,000000197950.jpg,train,9,0,0,1,0,0,person
148802,000000148802.jpg,train,0,0,1,0,0,1,truck
574790,000000574790.jpg,train,0,14,2,0,1,1,truck
329041,000000329041.jpg,val,3,0,0,1,0,0,person
17751,000000017751.jpg,train,0,1,0,0,1,0,car
181591,000000181591.jpg,train,3,0,0,1,0,0,person
214369,000000214369.jpg,train,1,0,0,1,0,0,person
492897,000000492897.jpg,train,2,0,1,1,0,1,truck
116074,000000116074.jpg,train,3,7,1,1,1,1,car+truck
148843,000000148843.jpg,train,1,0,4,1,0,1,truck
443759,000000443759.jpg,train,9,0,0,1,0,0,person
345466,000000345466.jpg,val,6,0,0,1,0,0,person
525691,000000525691.jpg,train,0,7,1,0,1,1,truck
329088,000000329088.jpg,train,1,0,0,1,0,0,person
542081,000000542081.jpg,train,2,0,0,1,0,0,person
411009,000000411009.jpg,train,8,0,0,1,0,0,person
198027,000000198027.jpg,train,1,0,0,1,0,0,person
443789,000000443789.jpg,train,0,1,2,0,1,1,truck
66959,000000066959.jpg,train,5,0,4,1,0,1,truck
214421,000000214421.jpg,train,3,0,0,1,0,0,person
279961,000000279961.jpg,train,3,0,0,1,0,0,person
148901,000000148901.jpg,train,14,0,1,1,0,1,truck
492968,000000492968.jpg,val,1,0,0,1,0,0,person
1451,000000001451.jpg,train,1,0,1,1,0,1,person+truck
148910,000000148910.jpg,train,0,0,1,0,0,1,truck
17839,000000017839.jpg,train,13,1,0,1,1,0,car
148911,000000148911.jpg,train,1,0,0,1,0,0,person
542127,000000542127.jpg,val,14,0,0,1,0,0,person
214450,000000214450.jpg,train,0,1,1,0,1,1,truck
509365,000000509365.jpg,train,4,0,0,1,0,0,person
214453,000000214453.jpg,train,3,0,0,1,0,0,person
116155,000000116155.jpg,train,14,12,0,1,1,0,car
509394,000000509394.jpg,train,8,9,2,1,1,1,car
345559,000000345559.jpg,train,1,1,0,1,1,0,car
280024,000000280024.jpg,train,0,0,2,0,0,1,truck
214492,000000214492.jpg,train,3,0,0,1,0,0,person
132574,000000132574.jpg,train,3,5,0,1,1,0,car
165347,000000165347.jpg,train,13,6,0,1,1,0,car
411108,000000411108.jpg,train,5,4,0,1,1,0,car
116196,000000116196.jpg,train,0,1,2,0,1,1,truck
558567,000000558567.jpg,train,0,6,0,0,1,0,car
394729,000000394729.jpg,train,2,0,0,1,0,0,person
427500,000000427500.jpg,val,0,1,0,0,1,0,car
230893,000000230893.jpg,train,4,14,2,1,1,1,car
1518,000000001518.jpg,train,0,2,1,0,1,1,car
34285,000000034285.jpg,train,14,0,1,1,0,1,truck
214523,000000214523.jpg,train,0,0,2,0,0,1,truck
1532,000000001532.jpg,val,0,7,1,0,1,1,truck
574988,000000574988.jpg,train,0,3,0,0,1,0,car
509459,000000509459.jpg,train,1,0,0,1,0,0,person
17945,000000017945.jpg,train,12,1,0,1,1,0,car
198169,000000198169.jpg,train,2,1,1,1,1,1,car
312861,000000312861.jpg,train,14,1,0,1,1,0,car
509471,000000509471.jpg,train,2,0,0,1,0,0,person
99875,000000099875.jpg,train,2,0,0,1,0,0,person
67131,000000067131.jpg,train,11,1,2,1,1,1,car+truck
312902,000000312902.jpg,train,2,3,0,1,1,0,car
83531,000000083531.jpg,val,3,0,0,1,0,0,person
1611,000000001611.jpg,train,0,0,1,0,0,1,truck
230993,000000230993.jpg,val,2,0,0,1,0,0,person
230996,000000230996.jpg,train,12,2,2,1,1,1,car
558677,000000558677.jpg,train,0,0,3,0,0,1,truck
460373,000000460373.jpg,train,4,1,1,1,1,1,truck
476761,000000476761.jpg,train,4,5,0,1,1,0,car
296540,000000296540.jpg,train,1,4,1,1,1,1,truck
542301,000000542301.jpg,train,3,0,1,1,0,1,truck
50786,000000050786.jpg,train,0,1,1,0,1,1,car
378467,000000378467.jpg,train,7,0,0,1,0,0,person
411238,000000411238.jpg,train,5,1,0,1,1,0,car
231017,000000231017.jpg,train,1,0,0,1,0,0,person
411243,000000411243.jpg,train,3,5,0,1,1,0,car
